COMANDO;OUTPUT_FOLDER;EXPORT_CSV;CREATE_DATE_SUBFOLDER;VARS;ALIAS;ZIP_CSV;SEND_FTP
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=2,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=3,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=4,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=5,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=6,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=7,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=8,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=9,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=10,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=11,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=12,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=13,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=14,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=15,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=20,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=21,VAR_ARRECADACAO=THIS;AUTO;true;true
ORDENS_DE_SERVICO_ENCERRADAS.sql;CAEMA;True;true;VAR_REFERENCIA=THIS;AUTO;true;true
ORDENS_DE_SERVICO_PENDENTES.sql;CAEMA;True;true;VAR_REFERENCIA=THIS;AUTO;true;true
cadastro_com_debito_protesto.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
ORDENS_DE_SERVICO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS;AUTO;true;true
ORDENS_DE_SERVICO_CORTE_DEBITO.sql;CAEMA;True;true;VAR_REFERENCIA=THIS;AUTO;true;true
RAS_COM_COORDENADAS.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
RAS_SOMENTE_ENCERRADAS.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
RAS_SOMENTE_PENDENTES.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
RAS_UNIDADE_CAPITAL.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
RAS_UNIDADE_INTERIOR.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
REFATURAMENTOS_CANCELAMENTOS_2.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
RESUMO_ANORM_LEITURAS.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
RESUMO_NEGATIVACAO.sql;CAEMA;True;true;VAR_REFERENCIA=AUTO;AUTO;true;true
CORTE_CAEMA.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=2/,3/,4/,5/,6/,7/,8/,9/,10/,20/,21;AUTO;true;true
CORTE_CAEMA.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=11/,12/,13/,14/,15;AUTO;true;true
LEITURAS_IMPRESSAO_SIMULTANEA.sql;CAEMA;True;true;VAR_REFERENCIA=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO_VARIAS_UNIDADES.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=11/,12/,13/,14/,15,VAR_ARRECADACAO=THIS;AUTO;true;true
CAD_COM_DEBITO_INCREMENTADO_VARIAS_UNIDADES.sql;CAEMA;True;true;VAR_REFERENCIA=THIS,VAR_UNIDADE=2/,3/,4/,5/,6/,7/,8/,9/,10/,20/,21,VAR_ARRECADACAO=THIS;AUTO;true;true
